ocid,notice_id,published_date,deadline,title,buyer,status,procurement_method,main_category,cpv_id,cpv_description,value_amount,value_currency,sme_suitable,vcse_suitable,categories,matched_terms,official_notice_url,summary,licence,source
ocds-b5fd17-48d1d41e-2abd-4d5d-b46d-c70487d01209,2dddc4fc-b327-48f0-b6e8-a32183767489-903687,2026-06-26T11:12:10+01:00,2026-07-24T17:00:00+01:00,CA18133 - ITT For Catfield C of E Primary Academy Heating System,Diocese of Norwich Education and Academies Trust,active,Open procedure,works,45331110,Boiler installation work,50000,GBP,True,False,facilities_works;sme_suitable,SME suitability flag;installation,https://www.contractsfinder.service.gov.uk/Notice/2dddc4fc-b327-48f0-b6e8-a32183767489,The Diocese of Norwich Education Services Company (DoNESC) is carrying out a procurement exercise on the behalf of Catfield C of E Primary Academy to procure works to upgrade the plantroom delivering an adequate heating…,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contracts Finder OCDS Search API
ocds-b5fd17-176d94e9-c350-44b5-aefc-b2a0977ebea1,a2642dd9-44e8-48a9-a78d-b4eb29d9a035-903654,2026-06-26T09:30:17+01:00,2026-07-24T12:00:00+01:00,"CA18131 - RFQ2026/18 - NMANDD PEACEPLUS Local Action Plan Thriving Together Accredited First Aid Course with CPR and AED Trainer Programme for The Mournes, Downpatrick and Rowallane DEAs","Newry, Mourne and Down District Council (NMD)",active,Open procedure,services,98000000,"Other community, social and personal services",,,True,False,sme_suitable,SME suitability flag,https://www.contractsfinder.service.gov.uk/Notice/a2642dd9-44e8-48a9-a78d-b4eb29d9a035,"NMANDD PEACEPLUS Local Action Plan Thriving Together Accredited First Aid Course with CPR and AED Trainer Programme for The Mournes, Downpatrick and Rowallane DEAs Competent consultancy companies are hereby invited to t…",http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contracts Finder OCDS Search API
ocds-b5fd17-05f029d6-35cc-4af7-bf52-bd758d0202d5,bfc41558-bf34-47fe-9a81-680224d64057-903631,2026-06-26T09:08:57+01:00,2026-06-01T00:00:00+01:00,Handling of Recyclable Materials,BIP SOLUTIONS LIMITED,active,Restricted procedure (above threshold),services,90514000,Refuse recycling services,1,GBP,True,True,sme_suitable,SME suitability flag,https://www.contractsfinder.service.gov.uk/Notice/bfc41558-bf34-47fe-9a81-680224d64057,Modification Notice Original description: Handing of Recyclable Materials for the Council. Description of the modifications This contract relates to the Council's waste disposal arrangements for non-residual waste. The…,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contracts Finder OCDS Search API
ocds-b5fd17-20bb54ca-294a-45bf-9449-0beea881e456,8ef1b773-1b75-4280-ae9e-b35c111ae7a8-903634,2026-06-26T06:24:36+01:00,2026-07-27T23:59:00+01:00,"The Council is procuring an Appropriate Adult Service in accordance with its statutory duties under the Police and Criminal Evidence Act 1984 (PACE) and the Crime and Disorder Act 1998 (section 38(4)(a)).
      
      These statutory duties place an obligation on local authorities to ensure the provision of Appropriate Adults for children and vulnerable adults where a parent, guardian or other suitable adult is unavailable or deemed inappropriate.
      
      The purpose of the Appropriate Adult is to safeguard and promote the rights, entitlements and welfare of children and vulnerable adults who are detained and/or interviewed by the police. 
      
      The Appropriate Adult is required ",SURREY COUNTY COUNCIL,active,Other - ,services,85000000,Health and social work services,1050000,GBP,True,True,sme_suitable,SME suitability flag,https://www.contractsfinder.service.gov.uk/Notice/8ef1b773-1b75-4280-ae9e-b35c111ae7a8,"The Council is procuring an Appropriate Adult Service as is required under Police and Criminal Evidence Act 1984 (PACE) and Crime and Disorder Act 1998, section 38(4)(a) which place a statutory duty on local authorities…",http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contracts Finder OCDS Search API
ocds-b5fd17-d349e746-dec8-41a5-9ce4-fd248b08e12f,8284d2cd-3b24-48aa-a2b1-f4e8d8083901-903626,2026-06-25T12:23:57+01:00,2026-08-06T12:00:00+01:00,Two Play Park Upgrade Projects,Melksham Town Council,active,Open procedure (above threshold),goods,37535200,Playground equipment,,,True,True,accessibility_digital;sme_suitable,SME suitability flag;accessibility,https://www.contractsfinder.service.gov.uk/Notice/8284d2cd-3b24-48aa-a2b1-f4e8d8083901,"Redevelopment of two play spaces in Melksham: Dunch Lane Play Park, designed for children aged 0-4 years, and Riverside Play Park, designed for children aged 5 and over. Together, the project aims to deliver high-qualit…",http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contracts Finder OCDS Search API
ocds-b5fd17-eda153f3-eb11-4a4d-8d10-762cc308af17,3baa95d2-10f5-4d9d-b612-be8e336fe70b-903601,2026-06-25T15:39:06+01:00,2026-07-09T13:00:00+01:00,South Cambridgeshire District Council - Shared Ownership Sales and Marketing Arrangements,South Cambridgeshire District Council,active,Open procedure (below threshold),services,70330000,Property management services of real estate on a fee or contract basis,,,True,False,accessibility_digital;sme_suitable,SME suitability flag;portal,https://www.contractsfinder.service.gov.uk/Notice/3baa95d2-10f5-4d9d-b612-be8e336fe70b,SCDC has a continuing new build programme that includes shared ownership and affordable rent and social rent homes. SCDC need to build out policy-compliant exception sites and purchase S106 affordable housing from devel…,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contracts Finder OCDS Search API
ocds-b5fd17-62b40079-a0a8-4219-bd71-e2a997f09b15,e8288bb0-fb7e-429a-b707-e3f7328b5ef9-903571,2026-06-25T14:22:26+01:00,,Editorial Support,"OFFICE FOR STANDARDS IN EDUCATION, CHILDRENS SERVICES AND SKILLS",planned,Open procedure (below threshold),,79821100,Proofreading services,30000,GBP,True,False,sme_suitable,SME suitability flag,,"This proposal is to establish a new contractual arrangement to support Ofsted's Communications team with flexible, on-demand editorial resource. The intention is to appoint multiple suppliers to a small pool, enabling O…",http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contracts Finder OCDS Search API
ocds-b5fd17-e5a23bb2-7a96-44d6-9457-f8c7072f7f3d,186db4a8-e53f-414f-9f55-a1e5b159a926-903101,2026-06-25T14:20:22+01:00,2026-06-30T17:00:00+01:00,M6 Lune Gorge - Roundthwaite Box - Civils Package,KIER TRANSPORTATION LIMITED,active,Competitive quotation (below threshold),works,45100000,Site preparation work,50000,GBP,True,False,sme_suitable,SME suitability flag,https://www.contractsfinder.service.gov.uk/Notice/186db4a8-e53f-414f-9f55-a1e5b159a926,Kier Infrastructure are looking to engage experienced and qualified contractors for the civils package for Roundthwaite Box solution in the Central Reservation works on the M6 Lune Gorge Scheme (Approx J38). Package is…,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contracts Finder OCDS Search API
ocds-b5fd17-1f180c9f-9541-4217-93da-5c134991d914,25e021d3-5c3c-48c2-a357-5d8651a3d406-903579,2026-06-25T14:19:42+01:00,2026-06-30T12:00:00+01:00,5 yr maintenance service contract for slit lamps and tables,KCH Interventional Facilities Management LLP,active,Single tender action (below threshold),services,50420000,Repair and maintenance services of medical and surgical equipment,82893.47,GBP,False,False,accessibility_digital;facilities_works,maintenance;portal,https://www.contractsfinder.service.gov.uk/Notice/25e021d3-5c3c-48c2-a357-5d8651a3d406,"5 yr maintenance service contract PM cover for Haag-Streit slit lamps and tables Additional information: To express interest and participate in the tender, please register and apply via Atamis e-sourcing portal https://…",http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contracts Finder OCDS Search API
ocds-b5fd17-c38c06c4-1788-4c87-b428-b38ae5828ab7,b90d86bd-734f-45a4-85af-bf259062b5f9-903118,2026-06-25T14:14:50+01:00,2026-06-30T17:00:00+01:00,M6 Lune Gorge - Roundthwaite Box - FRC Package,KIER TRANSPORTATION LIMITED,active,Competitive quotation (below threshold),works,45223500,Reinforced-concrete structures,50000,GBP,True,False,sme_suitable,SME suitability flag,https://www.contractsfinder.service.gov.uk/Notice/b90d86bd-734f-45a4-85af-bf259062b5f9,Kier Infrastructure are looking to engage experienced and qualified contractors for the FRC package for the Roundthwaite Box solution in the Central Reservation works on the M6 Lune Gorge Scheme (Approx J38). Package is…,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Contracts Finder OCDS Search API
